control_family,seed_block,n_realizations,mean_value_of_information,mean_actual_viability,mean_constant_viability,n_target_reached,all_target_reached,semantic_information_if_all_reached,mean_semantic_lower_bound_among_censored,all_identity_information_recovered,all_identity_viability_recovered
temporally_unstable,2,1,10.79060329861111,38.68199869791667,27.89139539930556,1,True,0.3022310941847633,,True,True
temporally_unstable,3,1,9.633376736111117,37.35911458333334,27.72573784722222,1,True,0.2690069718953546,,True,True
temporally_unstable,4,1,9.547384982638889,37.23492838541667,27.687543402777784,1,True,0.2708450588989121,,True,True
temporally_unstable,5,1,10.403363715277777,38.101236979166664,27.697873263888887,1,True,0.2743273921828605,,True,True
temporally_unstable,6,1,10.32929687499999,38.10764973958332,27.778352864583333,1,True,0.2697742887422486,,True,True
temporally_unstable,7,1,11.715559895833337,39.38055555555556,27.664995659722223,1,True,0.2997659727016137,,True,True
temporally_unstable,8,1,10.530935329861109,38.54585503472222,28.014919704861114,1,True,0.2848997514463203,,True,True
temporally_unstable,9,1,9.012228732638889,36.70034722222223,27.68811848958334,1,True,0.2674894850386099,,True,True
temporally_unstable,10,1,9.52403428819445,37.13314887152778,27.60911458333333,1,True,0.3081783490351366,,True,True
temporally_unstable,11,1,9.672819010416656,37.59844835069444,27.925629340277784,1,True,0.277985030660918,,True,True
temporally_unstable,12,1,10.222504340277784,37.97546657986112,27.752962239583336,1,True,0.2836575929044103,,True,True
temporally_unstable,13,1,9.567838541666667,37.25022786458333,27.682389322916663,1,True,0.2741891914694067,,True,True
temporally_unstable,14,1,10.934581163194451,38.71016710069445,27.775585937499997,1,True,0.2899312422970651,,True,True
temporally_unstable,15,1,11.143532986111111,38.710362413194446,27.566829427083334,1,True,0.2676884267468059,,True,True
temporally_unstable,16,1,9.920855034722216,37.62039930555555,27.699544270833336,1,True,0.3005558793451405,,True,True
temporally_unstable,17,1,10.161143663194451,37.94838324652778,27.78723958333333,1,True,0.264788263183784,,True,True
temporally_unstable,18,1,9.752419704861111,37.711154513888886,27.958734809027774,1,True,0.2664313416584466,,True,True
temporally_unstable,19,1,10.920757378472224,38.64629991319445,27.725542534722223,1,True,0.2569744876686433,,True,True
topology_mismatch,0,2,9.860828993055556,38.124446614583334,28.263617621527775,2,True,0.2770772466033623,,True,True
topology_mismatch,1,2,10.239632161458335,37.95553927951389,27.715907118055558,2,True,0.2526763888582233,,True,True
topology_mismatch,2,2,10.613216145833327,38.06430121527778,27.45108506944445,2,True,0.2980063334655645,,True,True
topology_mismatch,3,2,9.978445095486105,37.72974717881944,27.751302083333336,2,True,0.2876481236978114,,True,True
topology_mismatch,4,2,9.613346354166667,37.45889214409722,27.845545789930554,2,True,0.2966878611635775,,True,True
topology_mismatch,5,2,11.581852213541675,39.15119900173612,27.569346788194444,2,True,0.2769134008472778,,True,True
topology_mismatch,6,2,10.079383680555551,37.578700086805554,27.499316406250003,2,True,0.2637872661500619,,True,True
topology_mismatch,7,2,7.099652777777775,35.53143446180555,28.431781684027776,2,True,0.2900287800244626,,True,True
topology_mismatch,8,2,11.79574110243056,39.663416883680554,27.86767578125,2,True,0.2951876572985622,,True,True
topology_mismatch,9,2,10.087451171875,38.081570095486114,27.99411892361111,2,True,0.2905617582107096,,True,True
topology_mismatch,10,2,9.92373046875,37.23347439236111,27.30974392361111,2,True,0.2748345883629545,,True,True
topology_mismatch,11,2,11.332210286458336,39.088102213541674,27.755891927083333,2,True,0.2961406112002671,,True,True
topology_mismatch,12,2,9.43687608506944,37.65135091145832,28.214474826388887,2,True,0.267058503784815,,True,True
topology_mismatch,13,2,8.864648437500007,36.31891818576389,27.454269748263883,2,True,0.285444422110618,,True,True
topology_mismatch,14,2,7.828493923611104,35.823215060763886,27.99472113715278,2,True,0.2704670324675615,,True,True
topology_mismatch,15,2,9.461165364583337,37.39558376736112,27.93441840277778,2,True,0.2644877727941119,,True,True
topology_mismatch,16,2,13.255110677083326,40.70985243055555,27.454741753472224,2,True,0.3208149810797718,,True,True
topology_mismatch,17,2,10.112510850694445,38.200618489583334,28.08810763888889,2,True,0.306222004026527,,True,True
topology_mismatch,18,2,10.092632378472224,38.21637912326389,28.123746744791667,2,True,0.2804843653436945,,True,True
topology_mismatch,19,2,10.426095920138884,38.00147026909722,27.575374348958334,2,True,0.2781025328704907,,True,True
